age,workclass,education,marital-status,occupation,place-of-birth,relationship,hours-per-week,sex,race,income
28.0,Private For-Profit,"some college, but less than 1 year",Never married,First-Line Supervisors Of Retail Sales Workers,North Carolina,Unmarried partner,50.0,fem,White,False
56.0,Federal Government,"Some college, but less than 1 year",Divorced,Maids And Housekeeping Cleaners,new york,Reference person,40.0,Male,Black,False
23.0,Private For-Profit,bachelor's degree,Never married,"Industrial Engineers, Including Health And Safety",New York,Reference person,40.0,Male,White,True
33.0,Private For-Profit,Bachelor's degree,Married,First-Line Supervisors Of Non-Retail Sales Workers,Illinois,Reference person,50.0,Female,White,True
38.0,Private For-Profit,Doctorate degree,Married,Veterinarians,New Jersey,Reference person,40.0,Female,White,True
56.0,Self-Employed (Not Inc.),Professional degree beyond a bachelor's degree,Separated,Bill And Account Collectors,California,Reference person,45.0,Male,White,False
83.0,Private For-Profit,GED or alternative credential,Married,Cleaners Of Vehicles And Equipment,Michigan,Husband/wife,16.0,Male,Two or More Race,False
-5.0,Private For-Profit,Master's degree,NEVER MARRIED,"Laborers And Freight, Stock, And Material Movers, Hand",Florida,Other nonrelative,50.0,Female,White,False
46.0,Private For-Profit,GED or alternative credential,Divorced,"Plumbers, Pipefitters, And Steamfitters",California,Reference person,40.0,Male,White,False
56.0,Private Non-Profit,Regular high school diploma,Never married,Landscaping And Groundskeeping Workers,michigan,Reference person,,Male,White,False
20.0,Private For-Profit,"One or more years of college credit, no degree",Never married,Security Guards And Gaming Surveillance Officers,Massachusetts,Noninstitutionalized group quarters population,16.0,Female,Black,False
49.0,Self-Employed (Not Inc.),Regular high school diploma,Married,Musicians and Singers,North Carolina,Husband/wife,40.0,Male,White,False
38.0,Private Non-Profit,Professional degree beyond a bachelor's degree,Never married,Clergy,Massachusetts,Noninstitutionalized group quarters population,50.0,Male,White,False
53.0,Self-Employed (Not Inc.),Regular high school diploma,Married,Janitors And Building Cleaners,Indiana,Reference person,40.0,Female,White,False
40.0,Private For-Profit,Grade 6,married,Janitors And Building Cleaners,Honduras,Reference person,40.0,Male,White,False
54.0,Private For-Profit,Bachelor's degree,Divorced,Software Developers,Georgia,Reference person,40.0,M,White,True
-5.0,State Government,Doctorate degree,Married,Computer Programmers,VIETNAM,Reference person,99.0,m,Asian,True
59.0,Private For-Profit,Regular high school diploma,married,"Welding, Soldering, And Brazing Workers",COLOMBIA,Reference person,40.0,Male,Other Race,False
30.0,Private For-Profit,Regular high school diploma,Never married,First-Line Supervisors Of Production And Operating Workers,California,Reference person,48.0,Male,White,True
61.0,Private Non-Profit,bachelor's degree,Married,Secondary School Teachers,New York,Reference person,16.0,Female,White,False
38.0,Private For-Profit,Master's degree,Married,,GERMANY,Husband/wife,40.0,Male,White,True
